animal id,animal name,breed,owner name,phone number,age,address
AN001,bruno,shitzu,Vikram,9084567643,9,New jersey
AN002,mars,shitzu,Stephen,6783251890,6,New jersey
AN003,kisses,shitzu,Ronald,546439335,7,Newark
AN004,jambo,shitzu,Suzy,437999217,4,New jersey
AN005,kuro,german shepherd,Thimothy,543232888,6,New jersey
AN006,shiro,lab,Rose,549278460,7,Trenton
AN007,choclate,poodle,Francis,589207067,4,New jersey
AN008,james,husky,Glory,823486289,3,New jersey
AN009,rambo,golden retriever,Rajesh,105776551,4,Jersey city
AN010,mike,golden retriever,Heniz,129204473,2,New jersey
